"date","type","url","location","text"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_11202018-419","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_11192018-421","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_11132018-417","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_11122018-416","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_11062018-415","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_11052018-414","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_10302018-412","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_10292018-411","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_10232018-410","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_10222018-409","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_10162018-407","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_10152018-408","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_10092018-405","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_10082018-404","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_10022018-402","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_10012018-403","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_09252018-399","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_09242018-398","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_09182018-397","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_09172018-396","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_09142018-395","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_09112018-394","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_09102018-393","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_09042018-391","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_09032018-392","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_08282018-385","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_08272018-388","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_08212018-382","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_08202018-381","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_08142018-377","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_08132018-378","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_08072018-375","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_08062018-374","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_07312018-372","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_07302018-371","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_07242018-370","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_07232018-380","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_07172018-368","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_07162018-367","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_07102018-365","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_07092018-364","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_07032018-363","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_07022018-362","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_06262018-361","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_06252018-360","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_06192018-359","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_06182018-357","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_06122018-356","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_06112018-355","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_06052018-351","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_06042018-354","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_05292018-348","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_05282018-347","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_05222018-345","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_05212018-344","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_05152018-342","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_05142018-340","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_05082018-339","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_05072018-338","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_05012018-337","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_04302018-336","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_04242018-335","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_04232018-334","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_04172018-332","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_04162018-331","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_04102018-330","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_04092018-329","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_04032018-328","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_04022018-327","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_03272018-325","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_03262018-324","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_03212018-323","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_03202018-322","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_03192018-321","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_03132018-318","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_03122018-320","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_03062018-315","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_03052018-314","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_02272018-313","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_02262018-312","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_02202018-311","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_02192018-310","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_02132018-309","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_02122018-308","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_02062018-306","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_02052018-305","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_01302018-301","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_01292018-300","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_01222018-299","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_01162018-296","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_01152018-295","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_01112018-294","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_01092018-293","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_01082018-292","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_01022018-289","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_01012018-290","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_10222018-400","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_09242018-389","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_08272018-373","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_07232018-366","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_06252018-349","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_04022018-326","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_02262018-307","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_01292018-291","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_11172016-223","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_10202016-222","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_08182016-221","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_07212016-220","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_06162016-219","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_05192016-218","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_04212016-217","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_03242016-227","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_02182016-226","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://www.jeromecountyid.us/AgendaCenter/ViewFile/Minutes/_01212016-225","Jerome County, Idaho","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_07172018-563","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_06262018-560","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_04242018-540","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_03202018-531","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_02262018-525","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_01172018-516","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_10182018-589","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_10042018-586","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_09202018-580","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_09062018-577","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_08232018-575","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_08162018-569","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_07192018-565","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_07052018-561","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_06212018-557","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_06072018-552","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_05172018-547","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_05032018-541","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_04192018-538","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_04052018-534","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_03222018-532","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_03012018-526","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_02152018-522","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_02012018-518","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_01182018-514","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_01162018-515","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_01042018-511","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_04022018-546","Charlton County, Georgia","BLOB_TEXT"
"DATE","proposals","https://charltoncountyga.us/AgendaCenter/ViewFile/Minutes/_03122018-544","Charlton County, Georgia","BLOB_TEXT"
